Run, Vehicle_Length, Vehicle_Width, Vehicle_Height, Front_Overhang, Front_Planview, Hood_Angle, Approach_Angle, Windscreen_Angle, Greenhouse_Tapering, Backlight_Angle, Decklid_Height, Rearend_tapering, Rear_Overhang, Rear_Diffusor_Angle, Vehicle_Ride_Height, Vehicle_Pitch
12,111.075, -8.62342, -80.8802, -59.765, 33.6221, -23.9949, 5.34059, -50.7811, -81.9451, 84.941, 28.9897, -59.3807, -105.679, 7.59009, -23.527, -0.0426098
13,-138.925, -33.6234, -5.88015, -91.015, -60.1279, -36.4949, -38.4094, -88.2811, -6.94506, 47.441, -33.5103, -79.3807, -11.9289, -4.90991, 13.973, -0.29261
14,61.0751, 66.3766, 94.1198, 33.985, 14.8721, 13.5051, -3.40941, 61.7189, 93.0549, 197.441, 16.4897, 0.619345, -136.929, 45.0901, -36.027, 0.70739
15,-38.9249, 16.3766, 44.1198, -28.515, -22.6279, -11.4949, -20.9094, -13.2811, 43.0549, 122.441, -8.51029, -39.3807, 50.5711, 20.0901, 38.973, 0.20739
16,161.075, -83.6234, -55.8802, 96.485, 52.3721, 38.5051, 14.0906, 136.719, -56.9451, -27.559, 41.4897, 40.6193, -74.4289, -29.9099, -11.027, -0.79261
17,198.575, 10.1266, 12.8698, 26.1725, -8.56539, 35.3801, 3.15309, -97.6561, -38.1951, 113.066, -24.1353, -4.38066, 74.0086, -33.0349, -26.652, -0.35511
18,-1.42491, -89.8734, -87.1302, -98.8275, 66.4346, -14.6199, -31.8469, 52.3439, 61.8049, -36.934, 25.8647, -84.3807, -50.9914, 16.9651, 23.348, 0.64489
19,-101.425, 60.1266, 62.8698, 88.6725, 28.9346, -39.6199, 20.6531, -22.6561, 11.8049, 188.066, 0.864705, 35.6193, -113.491, -8.03491, -1.65203, 0.14489
20,98.5751, -39.8734, -37.1302, -36.3275, -46.0654, 10.3801, -14.3469, 127.344, -88.1951, 38.066, -49.1353, -44.3807, 11.5086, 41.9651, 48.348, -0.85511
21,248.575, -64.8734, 37.8698, -67.5775, 10.1846, -2.11986, 11.9031, 89.8439, -13.1951, 0.565994, -11.6353, -64.3807, -144.741, 29.4651, -14.152, 0.89489
22,48.5751, 35.1266, -62.1302, 57.4225, -64.8154, 47.8801, -23.0969, -60.1561, 86.8049, 150.566, 38.3647, 15.6193, -19.7414, -20.5349, 35.848, -0.10511
23,-51.4249, -14.8734, 87.8698, -5.07749, 47.6846, 22.8801, 29.4031, -135.156, 36.8049, 75.566, 13.3647, -24.3807, -82.2414, -45.5349, 10.848, -0.60511
24,148.575, 85.1266, -12.1302, -130.077, -27.3154, -27.1199, -5.59691, 14.8439, -63.1951, -74.434, -36.6353, 55.6193, 42.7586, 4.46509, -39.152, 0.39489
25,223.575, 72.6266, -74.6302, -20.7025, 0.809607, -33.3699, -27.4719, 146.094, -25.6951, -93.184, 32.1147, -34.3807, 89.6336, -1.78491, 29.598, -0.73011
26,23.5751, -27.3734, 25.3698, -145.702, -74.1904, 16.6301, 7.52809, -3.90612, 74.3049, 56.816, -17.8853, 45.6193, -35.3664, 48.2151, -20.402, 0.26989
27,-76.4249, -77.3734, -24.6302, 41.7975, 38.3096, -8.36986, -9.97191, -78.9061, 24.3049, -18.184, -42.8853, 5.61934, -97.8664, 23.2151, -45.402, -0.23011
28,123.575, 22.6266, 75.3698, -83.2025, -36.6904, 41.6301, 25.0281, 71.0939, -75.6951, 131.816, 7.11471, -74.3807, 27.1336, -26.7849, 4.59797, 0.76989
29,-126.425, -2.37342, -49.6302, -114.452, 19.5596, 29.1301, -18.7219, 33.5939, -0.695056, 94.316, 44.6147, 65.6193, -129.116, -39.2849, 42.098, 0.51989
30,73.5751, 97.6266, 50.3698, 10.5475, -55.4404, -20.8699, 16.2781, -116.406, 99.3049, -55.684, -5.38529, -14.3807, -4.11638, 10.7151, -7.90203, -0.48011
31,-26.4249, 47.6266, 0.369847, -51.9525, 57.0596, -45.8699, -1.22191, 108.594, 49.3049, 169.316, -30.3853, -54.3807, -66.6164, -14.2849, -32.902, -0.98011
32,173.575, -52.3734, -99.6302, 73.0475, -17.9404, 4.13014, -36.2219, -41.4061, -50.6951, 19.316, 19.6147, 25.6193, 58.3836, 35.7151, 17.098, 0.0198902
33,192.325, -5.49842, -65.2552, 37.8913, 26.5909, -47.4324, -6.69066, -8.59362, 58.6799, -60.3715, -13.1978, -76.8807, 7.60237, 34.1526, 9.28547, -0.76136
34,-7.67491, 94.5016, 34.7448, -87.1087, -48.4091, 2.56764, 28.3093, 141.406, -41.3201, 89.6285, 36.8022, 3.11934, -117.398, -15.8474, -40.7145, 0.23864
35,-107.675, 44.5016, -15.2552, -149.609, 64.0909, -22.4324, 10.8093, 66.4064, -91.3201, 14.6285, 11.8022, -36.8807, 70.1024, -40.8474, 34.2855, -0.26136
36,92.3251, -55.4984, 84.7448, -24.6087, -10.9091, 27.5676, -24.1907, -83.5936, 8.67994, 164.628, -38.1978, 43.1193, -54.8976, 9.15259, -15.7145, 0.73864
37,242.325, -80.4984, -40.2552, -55.8587, 45.3409, 15.0676, 2.05934, -121.094, 83.6799, 127.128, -0.697795, 23.1193, 38.8524, -3.34741, 21.7855, 0.48864
38,42.3251, 19.5016, 59.7448, 69.1413, -29.6591, -34.9324, -32.9407, 28.9064, -16.3201, -22.8715, 49.3022, -56.8807, -86.1476, 46.6526, -28.2145, -0.51136
39,-57.6749, -30.4984, 9.74485, 6.64126, -67.1591, 40.0676, 19.5593, -46.0936, -66.3201, -97.8715, 24.3022, 63.1193, -148.648, 21.6526, 46.7855, 0.98864
40,142.325, 69.5016, -90.2552, -118.359, 7.84086, -9.93236, -15.4407, 103.906, 33.6799, 52.1285, -25.6978, -16.8807, -23.6476, -28.3474, -3.21453, -0.0113598
41,217.325, 57.0016, 47.2448, -8.98374, 35.9659, -16.1824, -37.3157, -64.8436, 71.1799, 33.3785, 43.0522, 53.1193, 23.2274, -34.5974, -34.4645, 0.86364
42,17.3251, -42.9984, -52.7552, -133.984, -39.0341, 33.8176, -2.31566, 85.1564, -28.8201, 183.378, -6.94779, -26.8807, -101.773, 15.4026, 15.5355, -0.13636
43,-82.6749, -92.9984, 97.2448, 53.5163, 73.4659, 8.81764, -19.8157, 10.1564, -78.8201, 108.378, -31.9478, -66.8807, 85.7274, -9.59741, -9.46453, -0.63636
44,117.325, 7.00158, -2.75515, -71.4837, -1.53414, -41.1824, 15.1843, -139.844, 21.1799, -41.6215, 18.0522, 13.1193, -39.2726, 40.4026, 40.5355, 0.36364
45,-132.675, -17.9984, 72.2448, -102.734, 54.7159, 46.3176, -28.5657, 122.656, 96.1799, -79.1215, -44.4478, -6.88066, 54.4774, 27.9026, -21.9645, 0.11364
46,67.3251, 82.0016, -27.7552, 22.2663, -20.2841, -3.68236, 6.43434, -27.3436, -3.82006, 70.8785, 5.55221, -86.8807, -70.5226, -22.0974, 28.0355, -0.88636
47,-32.6749, 32.0016, -77.7552, -40.2337, -57.7841, -28.6824, -11.0657, -102.344, -53.8201, -4.12151, -19.4478, 33.1193, -133.023, -47.0974, 3.03547, 0.61364
48,167.325, -67.9984, 22.2448, 84.7663, 17.2159, 21.3176, 23.9343, 47.6564, 46.1799, 145.878, 30.5522, -46.8807, -8.02263, 2.90259, -46.9645, -0.38636
49,204.825, 25.7516, 90.9948, 14.4538, -43.7216, 18.1926, 12.9968, 113.281, 64.9299, -13.4965, -35.0728, 68.1193, -109.585, -0.222409, 37.4105, 0.0511402
50,4.82509, -74.2484, -9.00515, -110.546, 31.2784, -31.8074, -22.0032, -36.7186, -35.0701, 136.503, 14.9272, -11.8807, 15.4149, 49.7776, -12.5895, -0.94886
51,-95.1749, 75.7516, -59.0052, 76.9538, -6.22164, 43.1926, -39.5032, -111.719, -85.0701, 61.5035, -10.0728, -51.8807, -47.0851, 24.7776, -37.5895, 0.55114
52,104.825, -24.2484, 40.9948, -48.0462, 68.7784, -6.80736, -4.50316, 38.2814, 14.9299, -88.4965, 39.9272, 28.1193, 77.9149, -25.2224, 12.4105, -0.44886
53,-145.175, -49.2484, -84.0052, -79.2962, -24.9716, -19.3074, 21.7468, 0.781381, 89.9299, 174.003, -22.5728, 8.11934, -78.3351, -37.7224, 49.9105, -0.69886
54,54.8251, 50.7516, 15.9948, 45.7038, 50.0284, 30.6926, -13.2532, -149.219, -10.0701, 24.0035, 27.4272, -71.8807, 46.6649, 12.2776, -0.0895262, 0.30114
55,-45.1749, 0.751585, -34.0052, -16.7962, 12.5284, 5.69264, -30.7532, 75.7814, -60.0701, -50.9965, 2.42721, 48.1193, -15.8351, -12.7224, -25.0895, -0.19886
56,154.825, -99.2484, 65.9948, -141.796, -62.4716, -44.3074, 4.24684, -74.2186, 39.9299, 99.0035, -47.5728, -31.8807, -140.835, 37.2776, 24.9105, 0.80114
57,229.825, 88.2516, 3.49485, -32.4212, -34.3466, 49.4426, -17.6282, 57.0314, 77.4299, 80.2535, 21.1772, 38.1193, -93.9601, 31.0276, -6.33953, -0.32386
58,29.8251, -11.7484, -96.5052, 92.5788, 40.6534, -0.557363, 17.3718, -92.9686, -22.5701, -69.7465, -28.8228, -41.8807, 31.0399, -18.9724, 43.6605, 0.67614
59,-70.1749, -61.7484, 53.4948, 30.0788, 3.15336, -25.5574, -0.128157, 132.031, -72.5701, 155.253, 46.1772, -81.8807, -31.4601, -43.9724, 18.6605, 0.17614
60,129.825, 38.2516, -46.5052, -94.9212, -71.8466, 24.4426, -35.1282, -17.9686, 27.4299, 5.25349, -3.82279, -1.88066, 93.5399, 6.02759, -31.3395, -0.82386
61,-120.175, 13.2516, 28.4948, -126.171, -15.5966, 11.9426, -8.87816, -55.4686, -97.5701, -32.2465, 33.6772, -21.8807, -62.7101, -6.47241, 6.16047, 0.92614
62,79.8251, -86.7484, -71.5052, -1.17124, 59.4034, -38.0574, 26.1218, 94.5314, 2.42994, 117.753, -16.3228, 58.1193, 62.2899, 43.5276, -43.8395, -0.0738598
63,-20.1749, 63.2516, 78.4948, -63.6712, 21.9034, 36.9426, 8.62184, 19.5314, -47.5701, 42.7535, -41.3228, 18.1193, -0.21013, 18.5276, 31.1605, -0.57386
64,179.825, -36.7484, -21.5052, 61.3288, -53.0966, -13.0574, -26.3782, -130.469, 52.4299, 192.753, 8.67721, -61.8807, -125.21, -31.4724, -18.8395, 0.42614
65,189.2, -13.3109, 95.6823, 43.7506, 44.169, 11.1614, -11.6125, -114.062, -92.8826, 2.90974, -7.72904, -33.1307, 99.3992, 17.7463, 27.2542, -0.964485
66,-10.7999, 86.6891, -4.31765, -81.2494, -30.831, -38.8386, 23.3875, 35.9376, 7.11744, 152.91, 42.271, 46.8693, -25.6008, -32.2537, -22.7458, 0.0355152
67,-110.8, 36.6891, -54.3177, -143.749, -68.331, 36.1614, 5.88747, -39.0624, -42.8826, 77.9097, 17.271, 6.86934, -88.1008, 42.7463, -47.7458, -0.464485
68,89.2001, -63.3109, 45.6823, -18.7494, 6.66898, -13.8386, -29.1125, 110.938, 57.1174, -72.0903, -32.729, -73.1307, 36.8992, -7.25366, 2.25422, 0.535515
69,239.2, -88.3109, -79.3177, -49.9994, 62.919, -26.3386, -2.86253, 73.4376, -67.8826, 190.41, 4.77096, 66.8693, -119.351, -19.7537, 39.7542, 0.285515
70,39.2001, 11.6891, 20.6823, 75.0006, -12.081, 23.6614, -37.8625, -76.5624, 32.1174, 40.4097, -45.229, -13.1307, 5.64924, 30.2463, -10.2458, -0.714485
71,-60.7999, -38.3109, -29.3177, 12.5006, -49.581, -1.33861, 14.6375, 148.438, -17.8826, -34.5903, 29.771, -53.1307, -56.8508, 5.24634, -35.2458, 0.785515
72,139.2, 61.6891, 70.6823, -112.499, 25.419, 48.6614, -20.3625, -1.56237, 82.1174, 115.41, -20.229, 26.8693, 68.1492, -44.7537, 14.7542, -0.214485
73,214.2, 49.1891, 8.18235, -3.12437, 53.544, 42.4114, 27.7625, 129.688, -80.3826, 96.6597, 48.521, -63.1307, -134.976, 48.9963, -16.4958, 0.660515
74,14.2001, -50.8109, -91.8177, -128.124, -21.456, -7.58861, -7.23753, -20.3124, 19.6174, -53.3403, -1.47904, 16.8693, -9.97576, -1.00366, 33.5042, -0.339485
75,-85.7999, 99.1891, 58.1823, 59.3756, -58.956, -32.5886, -24.7375, -95.3124, -30.3826, 171.66, -26.479, -23.1307, -72.4758, -26.0037, 8.50422, -0.839485
76,114.2, -0.810915, -41.8177, -65.6244, 16.044, 17.4114, 10.2625, 54.6876, 69.6174, 21.6597, 23.521, 56.8693, 52.5242, 23.9963, -41.4958, 0.160515
77,-135.8, -25.8109, 33.1823, -96.8744, 72.294, 4.91139, -33.4875, 17.1876, -55.3826, -15.8403, -38.979, 36.8693, -103.726, 11.4963, -3.99578, -0.0894848
78,64.2001, 74.1891, -66.8177, 28.1256, -2.70602, -45.0886, 1.51247, -132.812, 44.6174, 134.16, 11.021, -43.1307, 21.2742, -38.5037, 46.0042, 0.910515
79,-35.7999, 24.1891, 83.1823, -34.3744, -40.206, 29.9114, -15.9875, 92.1876, -5.38256, 59.1597, -13.979, -83.1307, -41.2258, 36.4963, 21.0042, 0.410515
80,164.2, -75.8109, -16.8177, 90.6256, 34.794, -20.0886, 19.0125, -57.8124, 94.6174, -90.8403, 36.021, -3.13066, 83.7742, -13.5037, -28.9958, -0.589485
81,201.7, 17.9391, 51.9323, 20.3131, -26.1435, -23.2136, 8.07497, 7.81263, -86.6326, 49.7847, -29.604, -48.1307, -17.7883, -16.6287, -44.6208, -0.151985
82,1.70009, -82.0609, -48.0677, -104.687, 48.8565, 26.7864, -26.925, -142.187, 13.3674, 199.785, 20.396, 31.8693, -142.788, 33.3713, 5.37922, 0.848015
83,-98.2999, 67.9391, -98.0677, 82.8131, 11.3565, 1.78639, 25.575, 82.8126, -36.6326, 124.785, -4.60404, -8.13066, 44.7117, 8.37134, -19.6208, 0.348015
84,101.7, -32.0609, 1.93235, -42.1869, -63.6435, -48.2136, -9.42503, -67.1874, 63.3674, -25.2153, 45.396, -88.1307, -80.2883, -41.6287, 30.3792, -0.651985
85,-148.3, -57.0609, 76.9323, -73.4369, -7.39352, 39.2864, 16.825, -104.687, -61.6326, -62.7153, -17.104, 51.8693, 13.4617, 45.8713, -32.1208, -0.901985
86,51.7001, 42.9391, -23.0677, 51.5631, 67.6065, -10.7136, -18.175, 45.3126, 38.3674, 87.2847, 32.896, -28.1307, -111.538, -4.12866, 17.8792, 0.0980152
87,-48.2999, -7.06092, -73.0677, -10.9369, 30.1065, -35.7136, -35.675, -29.6874, -11.6326, 12.2847, 7.89596, -68.1307, 75.9617, -29.1287, -7.12078, -0.401985
88,151.7, 92.9391, 26.9323, -135.937, -44.8935, 14.2864, -0.675032, 120.313, 88.3674, 162.285, -42.104, 11.8693, -49.0383, 20.8713, 42.8792, 0.598015
89,226.7, 80.4391, -35.5677, -26.5619, -16.7685, 8.03639, -22.55, -48.4374, -74.1326, 143.535, 26.646, -78.1307, -2.16326, 14.6213, 11.6292, -0.526985
90,26.7001, -19.5609, 64.4323, 98.4381, 58.2315, -41.9636, 12.45, 101.563, 25.8674, -6.46526, -23.354, 1.86934, -127.163, -35.3787, -38.3708, 0.473015
91,-73.2999, -69.5609, 14.4323, 35.9381, 20.7315, 33.0364, -5.05003, 26.5626, -24.1326, -81.4653, -48.354, -38.1307, 60.3367, 39.6213, 36.6292, -0.0269848
92,126.7, 30.4391, -85.5677, -89.0619, -54.2685, -16.9636, 29.95, -123.437, 75.8674, 68.5347, 1.64596, 41.8693, -64.6633, -10.3787, -13.3708, 0.973015
93,-123.3, 5.43908, -10.5677, -120.312, 1.98148, -29.4636, -13.8, 139.063, -49.1326, 31.0347, 39.146, 21.8693, 29.0867, -22.8787, 24.1292, 0.723015
94,76.7001, -94.5609, 89.4323, 4.68813, -73.0185, 20.5364, 21.2, -10.9374, 50.8674, 181.035, -10.854, -58.1307, -95.9133, 27.1213, -25.8708, -0.276985
95,-23.2999, 55.4391, 39.4323, -57.8119, 39.4815, -4.46361, 3.69997, -85.9374, 0.867444, 106.035, -35.854, 61.8693, 91.5867, 2.12134, 49.1292, -0.776985
96,176.7, -44.5609, -60.5677, 67.1881, -35.5185, 45.5364, -31.3, 64.0626, -99.1326, -43.9653, 14.146, -18.1307, -33.4133, -47.8787, -0.870776, 0.223015
97,195.45, 2.31408, -26.1927, 32.0319, 9.01273, -6.02611, -1.76878, 96.8751, 10.2424, 176.347, -18.6665, 39.3693, -84.1945, -49.4412, -8.68328, -0.558235
98,-4.54991, -97.6859, 73.8073, -92.9681, -65.9873, 43.9739, -36.7688, -53.1249, -89.7576, 26.3472, 31.3335, -40.6307, 40.8055, 0.558841, 41.3167, 0.441765
99,-104.55, 52.3141, 23.8073, 94.5319, 46.5127, 18.9739, 15.7312, -128.125, 60.2424, -48.6528, 6.33346, -80.6307, -21.6945, -24.4412, 16.3167, -0.0582348
100,95.4501, -47.6859, -76.1927, -30.4681, -28.4873, -31.0261, -19.2688, 21.8751, -39.7576, 101.347, -43.6665, -0.630655, -146.695, 25.5588, -33.6833, 0.941765
101,245.45, -72.6859, -1.19265, -61.7181, 27.7627, -43.5261, 6.98122, -15.6249, 35.2424, 63.8472, -6.16654, -20.6307, -52.9445, 13.0588, 3.81672, 0.691765
102,45.4501, 27.3141, 98.8073, 63.2819, -47.2373, 6.47389, -28.0188, 134.375, -64.7576, -86.1528, 43.8335, 59.3693, 72.0555, -36.9412, -46.1833, -0.308235
103,-54.5499, -22.6859, 48.8073, 0.781885, 65.2627, -18.5261, 24.4812, 59.3751, 85.2424, 138.847, 18.8335, 19.3693, 9.55549, 38.0588, 28.8167, -0.808235
104,145.45, 77.3141, -51.1927, -124.218, -9.73727, 31.4739, -10.5188, -90.6249, -14.7576, -11.1528, -31.1665, -60.6307, -115.445, -11.9412, -21.1833, 0.191765
105,220.45, 64.8141, 86.3073, -14.8431, 18.3877, 25.2239, -32.3938, 40.6251, 22.7424, -29.9028, 37.5835, 9.36934, -68.5695, -18.1912, 47.5667, -0.933235
106,20.4501, -35.1859, -13.6927, -139.843, -56.6123, -24.7761, 2.60622, -109.375, -77.2576, 120.097, -12.4165, -70.6307, 56.4305, 31.8088, -2.43328, 0.0667652
107,-79.5499, -85.1859, -63.6927, 47.6569, 55.8877, -49.7761, -14.8938, 115.625, 72.7424, 45.0972, -37.4165, 49.3693, -6.06951, 6.80884, -27.4333, -0.433235
108,120.45, 14.8141, 36.3073, -77.3431, -19.1123, 0.223887, 20.1062, -34.3749, -27.2576, 195.097, 12.5835, -30.6307, -131.07, -43.1912, 22.5667, 0.566765
109,-129.55, -10.1859, -88.6927, -108.593, 37.1377, -12.2761, -23.6438, -71.8749, 47.7424, 157.597, -49.9165, -50.6307, -37.3195, 44.3088, -39.9333, 0.316765
110,70.4501, 89.8141, 11.3073, 16.4069, -37.8623, 37.7239, 11.3562, 78.1251, -52.2576, 7.59724, 0.0834554, 29.3693, 87.6805, -5.69116, 10.0667, -0.683235
111,-29.5499, 39.8141, -38.6927, -46.0931, 74.6377, 12.7239, -6.14378, 3.12513, 97.7424, -67.4028, -24.9165, -10.6307, 25.1805, -30.6912, -14.9333, 0.816765
112,170.45, -60.1859, 61.3073, 78.9069, -0.362268, -37.2761, 28.8562, -146.875, -2.25756, 82.5972, 25.0835, 69.3693, -99.8195, 19.3088, 35.0667, -0.183235
113,207.95, 33.5641, -69.9427, 8.59438, -61.2998, -40.4011, 17.9187, -81.2499, 16.4924, -76.7778, -40.5415, 24.3693, 48.618, 16.1838, 19.4417, 0.254265
114,7.95009, -66.4359, 30.0573, -116.406, 13.7002, 9.59889, -17.0813, 68.7501, -83.5076, 73.2222, 9.45846, -55.6307, -76.382, -33.8162, -30.5583, -0.745735
115,-92.0499, 83.5641, -19.9427, 71.0944, -23.7998, -15.4011, -34.5813, -6.24987, 66.4924, -1.77776, -15.5415, 64.3693, -138.882, 41.1838, 44.4417, 0.754265
116,107.95, -16.4359, 80.0573, -53.9056, 51.2002, 34.5989, 0.418718, 143.75, -33.5076, 148.222, 34.4585, -15.6307, -13.882, -8.81616, -5.55828, -0.245735
117,-142.05, -41.4359, -44.9427, -85.1556, -42.5498, 22.0989, 26.6687, 106.25, 41.4924, 110.722, -28.0415, -35.6307, 79.868, -21.3162, 31.9417, -0.495735
118,57.9501, 58.5641, 55.0573, 39.8444, 32.4502, -27.9011, -8.33128, -43.7499, -58.5076, -39.2778, 21.9585, 44.3693, -45.132, 28.6838, -18.0583, 0.504265
119,-42.0499, 8.56408, 5.05735, -22.6556, -5.04977, 47.0989, -25.8313, -118.75, 91.4924, 185.722, -3.04154, 4.36934, -107.632, 3.68384, -43.0583, 0.00426519
120,157.95, -91.4359, -94.9427, -147.656, 69.9502, -2.90111, 9.16872, 31.2501, -8.50756, 35.7222, 46.9585, -75.6307, 17.368, -46.3162, 6.94172, -0.995735
121,232.95, 96.0641, 42.5573, -38.2806, -51.9248, -9.15111, -12.7063, -137.5, 28.9924, 16.9722, 15.7085, -5.63066, 64.243, 47.4338, -24.3083, -0.120735
122,32.9501, -3.93592, -57.4427, 86.7194, 23.0752, 40.8489, 22.2937, 12.5001, -71.0076, 166.972, -34.2915, -85.6307, -60.757, -2.56616, 25.6917, 0.879265
123,-67.0499, -53.9359, 92.5573, 24.2194, -14.4248, 15.8489, 4.79372, -62.4999, 78.9924, 91.9722, 40.7085, 34.3693, -123.257, -27.5662, 0.691724, 0.379265
124,132.95, 46.0641, -7.44265, -100.781, 60.5752, -34.1511, -30.2063, 87.5001, -21.0076, -58.0278, -9.29154, -45.6307, 1.74299, 22.4338, -49.3083, -0.620735
125,-117.05, 21.0641, 67.5573, -132.031, -33.1748, -46.6511, -3.95628, 50.0001, 53.9924, -95.5278, 28.2085, -65.6307, 95.493, 9.93384, -11.8083, -0.870735
126,82.9501, -78.9359, -32.4427, -7.03062, 41.8252, 3.34889, -38.9563, -99.9999, -46.0076, 54.4722, -21.7915, 14.3693, -29.507, -40.0662, 38.1917, 0.129265
127,-17.0499, 71.0641, -82.4427, -69.5306, 4.32523, -21.6511, 13.5437, 125, -96.0076, -20.5278, -46.7915, -25.6307, -92.007, 34.9338, 13.1917, -0.370735
128,182.95, -28.9359, 17.5573, 55.4694, -70.6748, 28.3489, -21.4563, -24.9999, 3.99244, 129.472, 3.20846, 54.3693, 32.993, -15.0662, -36.8083, 0.629265
129,187.638, 82.7828, 76.1511, 46.6803, -22.042, 40.4583, -14.0735, -16.7967, -68.6638, 34.5504, -4.99467, 68.7443, 20.2977, 9.54322, 36.2386, 0.933953
130,-12.3624, -17.2172, -23.8489, -78.3197, 52.958, -9.54174, 20.9265, 133.203, 31.3362, 184.55, 45.0053, -11.2557, -104.702, -40.4568, -13.7614, -0.0660473
131,-112.362, -67.2172, -73.8489, -140.82, 15.458, -34.5417, 3.42653, 58.2033, -18.6638, 109.55, 20.0053, -51.2557, 82.7977, 34.5432, -38.7614, -0.566047
132,87.6376, 32.7828, 26.1511, -15.8197, -59.542, 15.4583, -31.5735, -91.7967, 81.3362, -40.4496, -29.9947, 28.7443, -42.2023, -15.4568, 11.2386, 0.433953
133,237.638, 7.78283, -98.8489, -47.0697, -3.29196, 2.95826, -5.32347, -129.297, -43.6638, -77.9496, 7.50533, 8.74434, 51.5477, -27.9568, 48.7386, 0.183953
134,37.6376, -92.2172, 1.1511, 77.9303, 71.708, -47.0417, 29.6765, 20.7033, 56.3362, 72.0504, -42.4947, -71.2557, -73.4523, 22.0432, -1.2614, -0.816047
135,-62.3624, 57.7828, -48.8489, 15.4303, 34.208, 27.9583, 12.1765, -54.2967, 6.33619, -2.94963, 32.5053, 48.7443, -135.952, -2.95678, -26.2614, 0.683953
136,137.638, -42.2172, 51.1511, -109.57, -40.792, -22.0417, -22.8235, 95.7033, -93.6638, 147.05, -17.4947, -31.2557, -10.9523, 47.0432, 23.7386, -0.316047
137,212.638, -54.7172, -11.3489, -0.194678, -12.667, -28.2917, 25.3015, -73.0467, -56.1638, 128.3, -48.7447, 38.7443, 35.9227, 40.7932, -7.5114, 0.558953
138,12.6376, 45.2828, 88.6511, -125.195, 62.333, 21.7083, -9.69847, 76.9533, 43.8362, -21.6996, 1.25533, -41.2557, -89.0773, -9.20678, 42.4886, -0.441047
139,-87.3624, -4.71717, 38.6511, 62.3053, 24.833, -3.29174, -27.1985, 1.95326, -6.16381, -96.6996, -23.7447, -81.2557, 98.4227, -34.2068, 17.4886, -0.941047
140,112.638, 95.2828, -61.3489, -62.6947, -50.167, 46.7083, 7.80153, -148.047, 93.8362, 53.3004, 26.2553, -1.25566, -26.5773, 15.7932, -32.5114, 0.0589527
141,-137.362, 70.2828, 13.6511, -93.9447, 6.08304, 34.2083, -35.9485, 114.453, -31.1638, 15.8004, -36.2447, -21.2557, 67.1727, 3.29322, 4.9886, -0.191047
142,62.6376, -29.7172, -86.3489, 31.0553, -68.917, -15.7917, -0.94847, -35.5467, 68.8362, 165.8, 13.7553, 58.7443, -57.8273, -46.7068, -45.0114, 0.808953
143,-37.3624, -79.7172, 63.6511, -31.4447, 43.583, -40.7917, -18.4485, -110.547, 18.8362, 90.8004, -11.2447, 18.7443, -120.327, 28.2932, 29.9886, 0.308953
144,162.638, 20.2828, -36.3489, 93.5553, -31.417, 9.20826, 16.5515, 39.4533, -81.1638, -59.1996, 38.7553, -61.2557, 4.67268, -21.7068, -20.0114, -0.691047
