run,cd,cl,clf,clr,cs
51,2.886534e-01,9.089648e-02,-6.578625e-02,1.566827e-01,2.976898e-02
52,2.746169e-01,-4.279522e-02,-1.116930e-01,6.889774e-02,1.516967e-02
53,2.612155e-01,4.672218e-02,-8.645984e-02,1.331820e-01,3.679316e-02
54,3.017428e-01,1.611017e-02,-5.012446e-02,6.623462e-02,1.663724e-02
55,2.683924e-01,3.506388e-02,-1.231139e-01,1.581778e-01,4.532472e-02
56,2.731425e-01,6.185364e-02,-3.314811e-02,9.500175e-02,3.421091e-02
57,3.156438e-01,6.773214e-02,-1.184011e-01,1.861333e-01,3.996420e-02
58,2.724018e-01,8.405821e-02,-6.923383e-04,8.475055e-02,2.488171e-02
59,2.734658e-01,-2.493017e-02,-8.264696e-02,5.771679e-02,2.850904e-02
60,2.537321e-01,-8.258407e-02,-2.063567e-01,1.237727e-01,1.254281e-02
61,3.003368e-01,8.543201e-02,-2.717174e-03,8.814919e-02,2.781090e-02
62,2.083931e-01,1.882061e-02,-6.317358e-02,8.199419e-02,2.109855e-02
63,3.267273e-01,5.873418e-02,-9.965059e-02,1.583848e-01,4.132923e-02
64,2.573861e-01,2.896143e-02,-8.881228e-02,1.177737e-01,1.195636e-02
65,2.962244e-01,-1.036661e-01,-1.699593e-01,6.629325e-02,4.891531e-03
66,2.969698e-01,1.017632e-01,-3.762112e-02,1.393844e-01,1.574079e-02
67,2.560943e-01,5.197682e-02,-9.481581e-02,1.467926e-01,2.723557e-02
68,2.548940e-01,-2.540534e-02,-6.946859e-02,4.406325e-02,-5.537595e-03
69,2.760712e-01,9.417171e-02,-5.811480e-02,1.522865e-01,3.605323e-02
70,2.699817e-01,-5.442846e-02,-1.988583e-01,1.444299e-01,1.599902e-02
71,2.409499e-01,1.915021e-02,-2.322649e-02,4.237670e-02,-6.847848e-04
72,3.050750e-01,2.291315e-02,-1.016075e-01,1.245207e-01,1.430480e-02
73,3.042401e-01,1.117175e-01,1.209552e-02,9.962201e-02,3.143646e-02
74,2.513106e-01,7.074195e-03,-9.455620e-02,1.016304e-01,2.330854e-02
75,3.264594e-01,1.951038e-02,-2.095175e-01,2.290279e-01,2.124325e-02
76,2.415551e-01,3.561672e-02,-3.793945e-02,7.355617e-02,2.391153e-03
77,2.936574e-01,6.222889e-02,-1.062887e-01,1.685176e-01,4.702599e-02
78,3.122697e-01,1.049950e-01,2.010236e-04,1.047939e-01,1.074723e-02
79,3.165547e-01,2.029640e-02,-5.833324e-02,7.862964e-02,2.550666e-02
80,2.308863e-01,-8.764042e-02,-1.100994e-01,2.245899e-02,8.858937e-04
81,2.642917e-01,3.567402e-02,-1.162432e-01,1.519173e-01,1.301982e-02
82,2.669434e-01,7.013352e-02,-2.533092e-02,9.546444e-02,4.197123e-02
83,2.735426e-01,9.543536e-02,-1.244350e-02,1.078789e-01,3.742689e-02
84,2.833918e-01,-6.244698e-02,-1.406988e-01,7.825180e-02,8.254559e-03
85,2.483550e-01,-3.486242e-02,-1.363393e-01,1.014769e-01,3.242704e-02
86,2.986263e-01,5.235009e-02,-8.169435e-02,1.340444e-01,2.157613e-02
87,2.556901e-01,-4.467095e-02,-1.419275e-01,9.725656e-02,8.946419e-03
88,3.357686e-01,1.292354e-01,-1.602904e-02,1.452645e-01,2.961380e-02
89,3.117337e-01,-1.463071e-02,-1.509888e-01,1.363580e-01,1.998363e-02
90,2.770971e-01,1.159620e-01,-4.443380e-02,1.603958e-01,2.958882e-02
91,2.580426e-01,-2.654949e-02,-8.106483e-02,5.451533e-02,1.749675e-02
92,2.763002e-01,1.495188e-01,4.137230e-02,1.081465e-01,2.103043e-02
93,2.878161e-01,5.886400e-02,-2.500436e-02,8.386836e-02,3.304626e-02
94,2.391268e-01,-7.784907e-02,-1.140480e-01,3.619896e-02,1.028271e-02
95,3.138085e-01,2.722838e-02,-1.175531e-01,1.447815e-01,2.574052e-02
96,2.586711e-01,1.875785e-02,-1.095891e-01,1.283469e-01,3.245741e-02
97,2.850102e-01,8.381111e-02,-1.254393e-01,2.092504e-01,4.258952e-02
98,2.657137e-01,-5.519636e-02,-8.741735e-02,3.222099e-02,2.473225e-02
99,3.079504e-01,4.745139e-02,-5.177567e-02,9.922707e-02,2.925336e-02
100,2.604312e-01,1.315972e-01,-2.437579e-02,1.559730e-01,2.207434e-02
101,2.523993e-01,4.372526e-02,-2.730818e-02,7.103345e-02,2.728640e-02
102,2.768799e-01,-4.586522e-02,-1.900716e-01,1.442064e-01,-3.298651e-03
103,2.831638e-01,-5.748120e-02,-1.066184e-01,4.913721e-02,1.240911e-02
104,2.944231e-01,1.509742e-01,-4.111508e-02,1.920893e-01,2.252330e-02
105,3.390253e-01,-1.804420e-02,-2.051163e-01,1.870721e-01,3.046506e-02
106,2.553496e-01,-2.336269e-02,-7.187754e-02,4.851485e-02,1.173184e-02
107,2.203673e-01,-9.884680e-03,-1.262832e-01,1.163985e-01,3.330781e-02
108,3.117513e-01,1.204332e-01,-1.879096e-02,1.392241e-01,3.629440e-02
109,2.356034e-01,6.546948e-02,-5.140419e-02,1.168737e-01,1.277959e-02
110,3.039010e-01,6.631471e-03,-1.272372e-01,1.338687e-01,5.925008e-03
111,2.713984e-01,1.172951e-01,2.320770e-02,9.408736e-02,-3.345286e-03
112,2.947099e-01,3.629816e-02,-8.620930e-02,1.225075e-01,5.366731e-02
113,2.773259e-01,6.145936e-02,-5.101005e-02,1.124694e-01,2.659185e-02
114,2.391799e-01,-6.571493e-02,-1.726074e-01,1.068925e-01,2.058249e-02
115,3.589395e-01,1.450442e-01,-4.166200e-02,1.867062e-01,3.936058e-02
116,2.737223e-01,-3.691828e-02,-9.928739e-02,6.236911e-02,6.159616e-03
117,2.555628e-01,-2.045700e-02,-7.429657e-02,5.383957e-02,1.586306e-02
118,3.123639e-01,9.145385e-02,-4.878832e-02,1.402422e-01,4.375261e-02
119,2.603868e-01,4.957572e-02,-9.302227e-02,1.425980e-01,1.384608e-02
120,2.395530e-01,-8.578025e-02,-1.227237e-01,3.694349e-02,8.434267e-03
121,2.995654e-01,1.663504e-02,-1.034501e-01,1.200852e-01,2.010352e-02
122,2.875553e-01,1.116090e-01,2.804994e-03,1.088040e-01,2.738864e-02
123,2.901188e-01,4.266053e-02,-5.126059e-02,9.392112e-02,3.571905e-02
124,2.575799e-01,-7.103693e-03,-1.808190e-01,1.737153e-01,2.217910e-02
125,2.885905e-01,-9.973094e-02,-1.583527e-01,5.862176e-02,4.662068e-03
126,2.690124e-01,3.053821e-02,-9.738526e-02,1.279235e-01,4.209593e-02
127,3.037653e-01,1.261351e-01,-7.528919e-02,2.014243e-01,3.526892e-02
128,2.501829e-01,2.155843e-02,-6.651195e-02,8.807038e-02,3.467854e-03
129,3.581210e-01,1.083469e-01,-2.402358e-02,1.323705e-01,5.838186e-02
130,2.618384e-01,5.902925e-02,-5.059064e-02,1.096199e-01,1.979989e-02
131,2.164303e-01,-9.744150e-02,-1.206317e-01,2.319022e-02,6.170669e-03
132,3.099324e-01,7.063036e-02,-7.551883e-02,1.461492e-01,5.106930e-02
133,2.825696e-01,5.625096e-02,-4.940693e-02,1.056579e-01,2.081963e-02
134,2.367539e-01,-3.788544e-02,-1.152431e-01,7.735769e-02,1.385329e-02
135,2.975554e-01,1.711606e-01,2.593144e-02,1.452291e-01,2.013474e-02
136,2.741213e-01,-3.935127e-02,-1.435655e-01,1.042143e-01,2.373664e-02
137,2.542671e-01,5.198897e-02,-3.871242e-02,9.070139e-02,3.523030e-02
138,3.284419e-01,3.988335e-02,-1.004900e-01,1.403733e-01,2.977820e-02
139,2.869022e-01,-8.022876e-02,-1.812914e-01,1.010627e-01,7.920870e-03
140,2.822111e-01,9.670916e-02,-2.662445e-02,1.233336e-01,1.803423e-02
141,2.977434e-01,1.165675e-02,-1.230483e-01,1.347050e-01,2.877336e-02
142,2.462111e-01,1.139193e-01,-1.840543e-02,1.323248e-01,3.016319e-02
143,2.859344e-01,3.756953e-02,-7.170409e-02,1.092736e-01,4.879699e-02
144,2.672785e-01,-3.609654e-02,-1.466002e-01,1.105037e-01,1.212839e-02
145,2.566713e-01,5.952098e-02,-1.067009e-01,1.662219e-01,2.064960e-02
146,2.716762e-01,1.861294e-02,-3.477029e-02,5.338323e-02,2.698396e-03
147,2.700684e-01,-3.678829e-02,-7.310814e-02,3.631985e-02,4.145187e-03
148,3.149760e-01,-4.061956e-02,-1.377443e-01,9.712477e-02,-1.093947e-03
149,3.024488e-01,1.187270e-01,1.736204e-02,1.013649e-01,2.869889e-02
150,2.612033e-01,-7.713866e-02,-9.171038e-02,1.457172e-02,9.941986e-03
151,2.896717e-01,1.495388e-02,-1.693934e-01,1.843472e-01,1.574172e-02
152,2.653778e-01,1.226656e-01,-3.099020e-02,1.536558e-01,1.053720e-02
153,2.763844e-01,6.600145e-03,-1.485064e-01,1.551065e-01,3.008445e-02
154,2.892039e-01,1.109162e-01,2.892322e-03,1.080238e-01,3.881944e-04
155,3.193802e-01,7.483338e-02,-9.311878e-02,1.679522e-01,6.356760e-02
156,2.874013e-01,9.487448e-02,-6.949226e-03,1.018237e-01,2.380342e-02
157,2.497918e-01,8.824250e-03,-4.742919e-02,5.625344e-02,2.149083e-02
158,2.696454e-01,-1.915972e-02,-8.671926e-02,6.755954e-02,7.904680e-03
159,2.280029e-01,-5.316214e-02,-1.493240e-01,9.616188e-02,1.526691e-02
160,2.996303e-01,4.730079e-02,-1.154395e-01,1.627403e-01,2.600977e-02
161,2.964287e-01,7.112789e-03,-1.353549e-01,1.424677e-01,1.496262e-02
162,2.634725e-01,4.300388e-02,-1.011659e-01,1.441698e-01,-5.840220e-03
163,2.788316e-01,3.901457e-02,-7.238058e-02,1.113951e-01,5.467224e-02
164,2.607447e-01,1.086560e-01,7.832431e-05,1.085777e-01,7.312904e-03
165,2.939030e-01,8.709231e-02,-2.705847e-02,1.141508e-01,1.777602e-02
166,2.392930e-01,-8.406039e-02,-1.667541e-01,8.269374e-02,1.518740e-02
168,2.495517e-01,5.508763e-02,-6.609783e-02,1.211855e-01,3.505106e-02
169,2.617460e-01,4.602677e-02,-5.150432e-02,9.753109e-02,-1.822516e-02
170,3.038969e-01,9.349207e-02,-5.493454e-02,1.484266e-01,4.454119e-02
171,2.562262e-01,4.221402e-02,-1.289423e-01,1.711563e-01,2.913958e-02
172,2.590486e-01,-3.521493e-02,-2.060222e-02,-1.461271e-02,1.288629e-02
173,3.464428e-01,1.623053e-01,-5.382623e-02,2.161316e-01,5.316777e-02
174,2.741883e-01,-2.731536e-02,-1.232524e-01,9.593704e-02,1.347583e-02
175,2.470862e-01,6.959646e-02,-2.486705e-02,9.446351e-02,2.471795e-02
176,3.121148e-01,-3.731238e-02,-9.417547e-02,5.686309e-02,1.469098e-02
177,2.411563e-01,3.582342e-02,-4.999350e-02,8.581692e-02,2.348748e-02
178,2.696012e-01,-5.332902e-02,-1.769384e-01,1.236094e-01,8.523882e-03
179,2.312576e-01,1.602261e-02,-5.609002e-02,7.211263e-02,7.554500e-03
180,3.228522e-01,2.719764e-02,-1.133515e-01,1.405491e-01,2.305418e-02
181,3.065033e-01,1.019905e-01,-6.342149e-02,1.654120e-01,5.064144e-02
182,2.721065e-01,2.715552e-02,-7.768558e-02,1.048411e-01,3.131894e-02
183,2.192024e-01,-9.218051e-02,-1.386606e-01,4.648013e-02,6.587167e-03
184,3.094280e-01,6.611126e-02,5.415696e-03,6.069556e-02,3.761264e-02
185,2.670788e-01,-4.734874e-02,-1.037786e-01,5.642983e-02,9.899952e-04
186,3.413442e-01,2.254619e-01,-9.822798e-03,2.352847e-01,1.956098e-02
187,3.057905e-01,2.583099e-02,-4.814026e-02,7.397125e-02,1.697579e-02
188,2.408142e-01,-2.369445e-02,-1.862281e-01,1.625337e-01,3.084577e-02
189,2.465561e-01,-1.007130e-01,-1.583317e-01,5.761868e-02,1.527639e-02
190,3.024076e-01,1.296024e-01,-3.926655e-02,1.688690e-01,2.913023e-02
191,2.838867e-01,-7.182458e-02,-1.148794e-01,4.305484e-02,1.263185e-02
192,2.854912e-01,9.003962e-02,-6.233050e-02,1.523701e-01,-1.296656e-03
193,2.981014e-01,4.908589e-02,-1.626958e-01,2.117816e-01,9.097371e-03
194,2.595532e-01,6.897188e-03,-2.819662e-02,3.509381e-02,-1.495128e-03
195,2.713526e-01,3.720296e-02,-8.085702e-02,1.180600e-01,3.435597e-02
196,3.178383e-01,1.311764e-01,-5.291276e-02,1.840892e-01,2.487783e-02
197,2.889071e-01,7.113086e-02,-4.213374e-02,1.132646e-01,2.716967e-02
198,2.304854e-01,-8.352750e-02,-1.833954e-01,9.986785e-02,2.094073e-02
199,2.823245e-01,1.381768e-01,3.258060e-02,1.055962e-01,2.726726e-02
200,2.815022e-01,7.139512e-03,-1.072087e-01,1.143482e-01,1.899997e-02
201,2.580738e-01,2.566583e-02,-6.519368e-02,9.085951e-02,1.702890e-02
202,2.939463e-01,2.272105e-02,-7.272320e-02,9.544425e-02,1.132397e-02
203,2.919264e-01,-1.370078e-02,-1.710662e-01,1.573654e-01,5.156286e-02
204,2.575950e-01,1.243946e-02,-5.365272e-02,6.609219e-02,3.131046e-02
205,3.154977e-01,6.780453e-02,-1.016804e-01,1.694849e-01,2.903412e-02
206,2.897980e-01,5.353313e-02,-1.251326e-01,1.786657e-01,4.910748e-02
207,2.356931e-01,5.567813e-03,-4.653805e-02,5.210586e-02,2.416708e-02
208,2.701943e-01,2.218800e-02,-1.406919e-01,1.628799e-01,2.307200e-02
209,2.637000e-01,-2.492484e-02,-6.328155e-02,3.835670e-02,2.105658e-02
210,2.908228e-01,6.109999e-02,-1.259430e-02,7.369429e-02,2.865437e-02
212,3.126557e-01,-1.269910e-02,-1.247754e-01,1.120763e-01,5.886292e-03
213,2.807515e-01,1.370648e-02,-1.187086e-01,1.324151e-01,1.689184e-02
214,2.594224e-01,-4.900592e-03,-9.713373e-02,9.223314e-02,2.334782e-02
215,3.020733e-01,7.386603e-02,-1.344126e-01,2.082786e-01,3.479651e-02
216,3.033648e-01,8.540755e-02,-7.376489e-03,9.278404e-02,5.076473e-02
217,2.684789e-01,-7.092230e-02,-1.344698e-01,6.354751e-02,7.010723e-03
219,3.260864e-01,4.021695e-02,-8.312485e-02,1.233418e-01,4.576456e-02
220,2.268766e-01,-1.383685e-01,-2.140975e-01,7.572902e-02,1.223010e-02
222,2.422111e-01,5.100318e-02,-6.694386e-02,1.179470e-01,1.728476e-02
223,2.802778e-01,-3.037000e-03,-1.303024e-01,1.272654e-01,2.509431e-02
224,2.815928e-01,5.420730e-02,-7.520379e-02,1.294111e-01,5.129846e-03
225,2.271157e-01,-6.183384e-02,-1.373568e-01,7.552299e-02,9.881589e-03
226,3.317622e-01,6.452094e-02,-4.978015e-02,1.143011e-01,5.260134e-02
227,2.615802e-01,-3.628947e-02,-8.393198e-02,4.764251e-02,1.967111e-02
228,2.773358e-01,7.026675e-02,-1.792511e-01,2.495178e-01,3.351291e-02
229,2.840473e-01,6.765707e-02,-1.998739e-03,6.965581e-02,5.671380e-03
230,2.617087e-01,-6.074735e-03,-1.232508e-01,1.171761e-01,2.555417e-02
231,3.301018e-01,-6.238408e-02,-1.066869e-01,4.430283e-02,1.308004e-02
232,2.526897e-01,8.721551e-02,-4.772320e-02,1.349387e-01,3.030019e-02
233,2.659818e-01,-4.713247e-02,-1.785577e-01,1.314253e-01,1.949856e-02
234,3.100749e-01,1.285284e-01,-1.435111e-02,1.428795e-01,3.875470e-02
235,2.442444e-01,-1.815738e-02,-1.179346e-01,9.977724e-02,1.208686e-02
236,2.727696e-01,6.860783e-02,-2.196666e-02,9.057449e-02,2.965987e-02
237,2.656361e-01,9.497396e-02,-3.220897e-02,1.271829e-01,3.255047e-03
238,2.812833e-01,8.512029e-04,-1.145049e-01,1.153561e-01,1.580161e-02
239,2.727982e-01,1.395029e-01,4.091767e-03,1.354111e-01,2.288388e-02
240,3.195081e-01,-1.999745e-02,-1.455808e-01,1.255833e-01,3.109207e-02
241,2.571644e-01,6.750876e-02,-4.336858e-02,1.108773e-01,1.805021e-02
242,2.655131e-01,-3.256795e-02,-1.610797e-01,1.285118e-01,8.693966e-03
243,2.928117e-01,4.058711e-02,-4.780336e-02,8.839047e-02,2.532496e-02
244,3.118813e-01,2.452359e-02,-9.320016e-02,1.177238e-01,2.292104e-02
245,3.176746e-01,1.368855e-01,-4.334618e-02,1.802317e-01,4.856369e-02
246,2.622015e-01,-4.281049e-02,-6.107340e-02,1.826291e-02,8.451746e-03
247,2.705260e-01,2.368115e-02,-6.960967e-02,9.329082e-02,3.691166e-02
249,2.842550e-01,8.655020e-02,-9.952117e-02,1.860714e-01,1.228477e-02
250,3.236233e-01,1.463982e-01,1.697889e-02,1.294193e-01,2.536733e-02
251,2.742446e-01,8.229154e-02,-7.051711e-03,8.934325e-02,3.856743e-03
252,2.707414e-01,-7.777147e-02,-1.394604e-01,6.168890e-02,5.556757e-03
253,2.463097e-01,-8.733901e-02,-1.488064e-01,6.146740e-02,1.766290e-02
254,3.003801e-01,2.310814e-02,-1.061432e-01,1.292513e-01,2.558500e-02
255,2.556761e-01,5.962198e-02,-4.632134e-02,1.059433e-01,2.870867e-02
256,3.000265e-01,1.449262e-01,-3.183833e-02,1.767645e-01,3.292058e-03
257,2.474531e-01,5.848846e-02,-3.787534e-02,9.636380e-02,2.138035e-02
258,3.380101e-01,8.392789e-02,-5.759879e-02,1.415267e-01,5.827041e-02
259,2.714139e-01,-5.740655e-02,-1.296786e-01,7.227208e-02,1.080684e-02
260,2.805255e-01,1.381352e-01,-2.773196e-02,1.658671e-01,2.014430e-02
261,3.057158e-01,5.713282e-02,-8.594746e-02,1.430803e-01,3.869304e-02
262,2.492556e-01,3.361040e-02,-1.149158e-01,1.485262e-01,1.570246e-02
263,2.564848e-01,-7.581452e-02,-2.245122e-02,-5.336330e-02,1.336182e-02
264,2.639478e-01,2.473678e-02,-1.534553e-01,1.781921e-01,3.655511e-02
265,3.073990e-01,6.749563e-02,-2.200119e-02,8.949682e-02,2.582966e-02
266,3.164362e-01,1.057663e-01,-1.003022e-01,2.060685e-01,3.246372e-02
267,2.512392e-01,-6.349636e-02,-2.005014e-01,1.370050e-01,1.490545e-02
268,2.870325e-01,5.887978e-02,-8.290147e-02,1.417813e-01,3.536751e-02
269,2.118780e-01,-4.213922e-02,-1.398303e-01,9.769110e-02,2.275959e-02
270,2.888376e-01,7.407825e-02,-1.342688e-03,7.542094e-02,6.256237e-04
271,2.477169e-01,2.170978e-02,-8.258016e-02,1.042899e-01,3.052993e-02
272,3.214494e-01,-2.566606e-02,-1.439603e-01,1.182942e-01,1.379150e-02
273,2.667900e-01,5.051132e-02,-8.426984e-02,1.347812e-01,2.329318e-02
274,2.900129e-01,6.657151e-02,-5.880092e-02,1.253724e-01,2.832464e-03
275,3.011384e-01,8.418846e-02,-9.131723e-03,9.332018e-02,3.688017e-02
276,2.484877e-01,-1.274427e-01,-1.719246e-01,4.448189e-02,1.685232e-02
277,3.372218e-01,2.062731e-01,4.374607e-03,2.018984e-01,3.123815e-02
278,2.674056e-01,-7.645455e-02,-1.034912e-01,2.703663e-02,-4.325392e-04
279,2.279966e-01,-1.283204e-01,-1.925973e-01,6.427692e-02,7.130628e-03
280,3.065791e-01,7.307025e-02,-6.069800e-02,1.337682e-01,3.881069e-02
281,2.818141e-01,-1.540824e-02,-1.884989e-01,1.730906e-01,5.648161e-04
283,3.201063e-01,9.754932e-02,-7.856556e-02,1.761149e-01,2.532839e-02
284,2.377148e-01,5.127472e-02,-4.190403e-03,5.546513e-02,-1.116155e-02
285,2.765354e-01,3.800515e-02,-5.215344e-02,9.015859e-02,4.238168e-02
286,2.941127e-01,2.871668e-02,-7.607906e-02,1.047957e-01,9.768890e-03
287,2.649731e-01,6.531948e-03,-1.417431e-01,1.482750e-01,3.815157e-02
288,2.868195e-01,2.243426e-02,-1.096583e-01,1.320925e-01,1.041420e-02
289,2.294693e-01,-5.301037e-02,-1.385404e-01,8.553007e-02,3.790871e-03
290,2.943263e-01,7.255229e-02,-3.330900e-02,1.058613e-01,3.094195e-02
292,3.371068e-01,1.531282e-01,-2.613989e-02,1.792681e-01,4.581957e-02
293,2.934919e-01,6.833206e-02,-3.921409e-02,1.075462e-01,4.037303e-04
294,2.732889e-01,-1.744739e-02,-1.551912e-01,1.377439e-01,2.921916e-02
296,3.036867e-01,1.571515e-02,-7.688497e-02,9.260011e-02,2.373223e-02
297,2.726308e-01,7.585063e-03,-1.543452e-02,2.301958e-02,-2.077265e-03
298,2.294041e-01,-3.964381e-02,-1.031988e-01,6.355497e-02,-7.511255e-03
299,3.417641e-01,1.024881e-01,-1.288835e-01,2.313716e-01,5.020171e-02
300,2.345738e-01,2.186737e-02,-2.778222e-02,4.964959e-02,1.488636e-03
301,2.510180e-01,-3.847344e-02,-8.671862e-02,4.824519e-02,1.129867e-02
302,2.833436e-01,9.506616e-03,-1.441457e-01,1.536523e-01,2.407298e-02
303,3.098408e-01,7.149652e-02,-5.851266e-02,1.300092e-01,4.078943e-02
304,2.913746e-01,9.872114e-02,-4.945487e-02,1.481760e-01,2.147832e-02
305,2.723149e-01,1.058459e-01,-5.136327e-02,1.572091e-01,3.580736e-02
306,3.027162e-01,-2.991503e-02,-1.674944e-01,1.375794e-01,1.288875e-03
307,3.167060e-01,8.756395e-02,-6.077003e-02,1.483340e-01,4.803641e-02
308,2.227722e-01,-4.662021e-02,-1.373489e-01,9.072870e-02,8.817725e-03
309,2.331353e-01,-6.266073e-02,-1.107830e-01,4.812227e-02,1.478571e-02
310,2.783541e-01,2.560202e-02,-5.009674e-02,7.569875e-02,1.565284e-02
311,2.721072e-01,-5.024636e-02,-1.273703e-01,7.712396e-02,2.521081e-02
312,2.894674e-01,1.678058e-01,2.431836e-02,1.434874e-01,1.564846e-02
313,2.879091e-01,1.994674e-02,-1.159437e-01,1.358905e-01,5.552067e-03
314,2.542202e-01,5.776909e-02,-8.900442e-03,6.666953e-02,3.356555e-02
315,2.845882e-01,1.037003e-01,-2.980010e-02,1.335004e-01,2.082337e-02
317,2.327036e-01,9.477900e-03,1.514229e-03,7.963671e-03,4.047492e-03
318,3.252683e-01,1.429755e-01,-3.737413e-02,1.803497e-01,4.109726e-02
319,2.608601e-01,3.158952e-02,-1.047944e-01,1.363839e-01,1.586681e-02
320,2.857948e-01,2.323941e-02,-7.573216e-02,9.897157e-02,4.804306e-02
321,2.400925e-01,-8.053749e-02,-1.687227e-01,8.818520e-02,9.310689e-03
322,2.837184e-01,3.277831e-02,-3.673796e-02,6.951627e-02,2.244172e-02
323,2.776821e-01,-2.039426e-02,-1.129388e-01,9.254459e-02,2.189832e-02
324,3.183795e-01,9.119633e-02,-2.032275e-02,1.115191e-01,3.047603e-02
326,2.612393e-01,-3.566720e-02,-1.504429e-01,1.147757e-01,1.804108e-02
327,2.743594e-01,6.350990e-02,-1.696945e-02,8.047935e-02,2.869500e-03
328,2.616734e-01,7.112210e-02,-1.012135e-01,1.723356e-01,1.333614e-02
330,2.268038e-01,-6.131265e-02,-1.105874e-01,4.927478e-02,8.416961e-03
331,2.613156e-01,-4.066681e-04,-1.787412e-01,1.783345e-01,1.691285e-02
332,2.623210e-01,-4.602140e-02,-5.704980e-02,1.102840e-02,7.107360e-03
333,2.657254e-01,2.922027e-02,-1.113248e-01,1.405451e-01,4.561850e-02
